Country,Clicks,Impressions,CTR,Position
United States,78,1371,5.69%,9.25
Brazil,17,174,9.77%,7.6
Hong Kong,17,37,45.95%,6.27
Thailand,7,63,11.11%,7.1
Canada,6,150,4%,8.79
United Kingdom,6,113,5.31%,7.8
Australia,3,74,4.05%,7.85
Vietnam,3,46,6.52%,7.7
Netherlands,3,38,7.89%,6.87
Philippines,2,126,1.59%,9.02
Turkey,2,17,11.76%,11.35
China,2,15,13.33%,3.8
Malaysia,1,59,1.69%,8.46
Poland,1,52,1.92%,7.17
France,1,38,2.63%,6.45
United Arab Emirates,1,15,6.67%,8.53
Japan,1,13,7.69%,8.38
Singapore,1,11,9.09%,7.73
Hungary,1,4,25%,10.25
Indonesia,0,129,0%,8.74
Germany,0,63,0%,7.57
Italy,0,40,0%,7.4
Mexico,0,36,0%,8
Argentina,0,34,0%,10.26
Spain,0,26,0%,7.23
India,0,24,0%,9.71
Saudi Arabia,0,21,0%,8.71
Chile,0,19,0%,8.11
Russia,0,19,0%,8.53
South Korea,0,18,0%,7.72
Ukraine,0,15,0%,7.07
Kazakhstan,0,14,0%,9.36
Portugal,0,13,0%,6.92
Belgium,0,13,0%,7.15
Norway,0,13,0%,8.54
Austria,0,13,0%,8.69
New Zealand,0,13,0%,8.77
Romania,0,12,0%,8
Ecuador,0,9,0%,8.78
Bulgaria,0,9,0%,9
Denmark,0,8,0%,7.12
Sweden,0,8,0%,9
Puerto Rico,0,8,0%,9.62
Finland,0,7,0%,6.43
Peru,0,7,0%,7
Ireland,0,7,0%,7.43
Colombia,0,7,0%,10.86
South Africa,0,7,0%,11
Serbia,0,7,0%,11.86
Lithuania,0,6,0%,5.67
Dominican Republic,0,6,0%,7
Czechia,0,6,0%,7.83
Uruguay,0,6,0%,8.17
Bangladesh,0,6,0%,8.83
Greece,0,6,0%,9.33
Guatemala,0,5,0%,6.2
Nicaragua,0,5,0%,6.6
Barbados,0,5,0%,7.2
Kuwait,0,5,0%,9
Unknown Region,0,5,0%,10
Egypt,0,5,0%,10.2
Israel,0,5,0%,10.4
Venezuela,0,4,0%,2
Macedonia,0,4,0%,5.75
Slovakia,0,4,0%,5.75
Iran,0,4,0%,7
Mongolia,0,4,0%,7.25
Malta,0,4,0%,8.5
Cyprus,0,4,0%,9
Latvia,0,4,0%,9.25
Georgia,0,4,0%,10.25
Algeria,0,4,0%,10.75
Nigeria,0,4,0%,14.75
Honduras,0,4,0%,17.25
Morocco,0,3,0%,7
Switzerland,0,3,0%,7.33
Belarus,0,3,0%,8
Jersey,0,3,0%,8
Lebanon,0,3,0%,8.33
Estonia,0,3,0%,8.67
Iraq,0,3,0%,9
Moldova,0,3,0%,9
Bahamas,0,2,0%,4.5
Nepal,0,2,0%,6
Pakistan,0,2,0%,6
Costa Rica,0,2,0%,6.5
Guam,0,2,0%,6.5
Slovenia,0,2,0%,6.5
Albania,0,2,0%,7
Lesotho,0,2,0%,7
Myanmar (Burma),0,2,0%,8
Trinidad & Tobago,0,2,0%,8
Maldives,0,2,0%,8.5
Jordan,0,2,0%,10
Montenegro,0,1,0%,5
Croatia,0,1,0%,6
Tunisia,0,1,0%,6
Martinique,0,1,0%,7
Mauritius,0,1,0%,7
Seychelles,0,1,0%,7
Taiwan,0,1,0%,7
Aruba,0,1,0%,8
Laos,0,1,0%,8
Northern Mariana Islands,0,1,0%,8
Sierra Leone,0,1,0%,8
Armenia,0,1,0%,9
Bolivia,0,1,0%,9
Guernsey,0,1,0%,9
Guyana,0,1,0%,9
Syria,0,1,0%,9
Angola,0,1,0%,10
Cameroon,0,1,0%,10
Grenada,0,1,0%,10
Jamaica,0,1,0%,10
Cambodia,0,1,0%,10
Paraguay,0,1,0%,10
El Salvador,0,1,0%,10
Uzbekistan,0,1,0%,10
Azerbaijan,0,1,0%,11
Cayman Islands,0,1,0%,11
Kyrgyzstan,0,1,0%,11
St. Lucia,0,1,0%,11
Luxembourg,0,1,0%,11
Qatar,0,1,0%,11
Zimbabwe,0,1,0%,11
Brunei,0,1,0%,13
Ghana,0,1,0%,14
Suriname,0,1,0%,29